SlaT-2780-n4	incipio	v#v-w121_MPf17_MP	incipio-06	v#01864230	
SlaT-2780-n5	consulo	v#v-w630_MPf4_MP	consulo-04	v#00699626	
SlaT-2780-n9	opus	v#v-w1019_MPf3_MP	opus-23	n#09367203	
SlaT-2780-n7	consulo	v#v-w630_MPf4_MP	consulo-04	v#00699626	
SlaT-2780-n10	facio	v#v-w76_MPf43_MP	facio-02	v#00014549	
SlaT-2781-n2	egeo	v#v-w1109_MPf2_MP	egeo-01	v#01188725	
SlaT-2781-n5	indigeo	v#v-w494_MPf6_MP	indigeo-03	v#02632567	
SlaT-2781-n8	auxilium	v#v-w1110_MPf6_MP	auxilium-04	n#01207609	
SlaT-2782-n5	diversus	v#v-w323_MPf1_MP			
SlaT-2782-n6	sum	v#v-w2_MPf100_MP	identity-91		
2782a3	exerceo	v#v-w251_MPf5_MP	exerceo-13	v#02204564	
SlaT-2782-n15	exerceo	v#v-w251_MPf6_MP	exerceo-13	v#02204564	
SlaT-2783-n1	agito	v#v-w631_MPf3_MP	agito-NEW-14	v#02708420	pass time in a specific way
SlaT-2783-n6	cupiditas	v#v-w1111_MPf2_MP	cupiditas-01/cupiditas-02	n#04945530/n#04945758	
SlaT-2784-n1	placeo	v#v-w585_MPf5_MP	placeo-04	v#01183573	
SlaT-2785-n1	comperio	v#v-w816_MPf4_MP	comperio-05	v#00721437	
SlaT-2785-n3	coepio	v#v-w575_MPf2_MP	coepio-01	v#00345761	
SlaT-2785-n12	subigo	v#v-w856_MPf3_MP	subigo-12	v#02496816	
SlaT-2785-n16	habeo	v#v-w73_MPf15_MP	habeo-07	v#00689950	
SlaT-2785-n17	libido	v#v-w1112_MPf4_MP	libido-03	n#07486628	
SlaT-2785-n18	dominor	v#v-w1113_MPf3_MP	dominor-01	v#02442106	
SlaT-2785-n19	causa	v#v-w258_MPf7_MP	causa-17	n#09178999	
SlaT-2785-n21	puto	v#v-w145_MPf7_MP	puto-09	v#00689344	
SlaT-2785-n32	possum	v#v-w197_MPf3_MP	possum-NEW-01		
SlaT-2786-n2	habeo	v#v-w73_MPf17_MP	habeo-17	v#02604760	
SlaT-2786-n3	valeo	v#v-w622_MPf4_MP	ualeo-07	v#02536557	
2786a1	valeo	v#v-w622_MPf4_MP	ualeo-07	v#02536557	
SlaT-2786-n19	cerno	v#v-w700_MPf3_MP	cerno-11	v#02128873	
SlaT-2786-n22	fero	v#v-w392_MPf7_MP	fero-30	v#01434278	
SlaT-2786-n27	muto	v#v-w244_MPf3_MP	muto-04	v#00126264	
SlaT-2786-n28	misceo	v#v-w619_MPf3_MP	misceo-07	v#01418667	
SlaT-2787-n1	retineo	v#v-w248_MPf6_MP	retineo-05	v#02679899	
SlaT-2787-n7	pario	v#v-w746_MPf3_MP	pario2-07	v#01752884	
SlaT-2788-n1	inmuto	v#v-w1115_MPf2_MP	immuto-NEW-01	v#00126264	cause to change; make different; cause a transformation
2788a1	invado	v#v-w733_MPf7_MP	inuado2-05	v#02019716	
SlaT-2788-n6	invado	v#v-w733_MPf7_MP	inuado2-05	v#02019716	
SlaT-2788-n8	continentia	v#v-w1114_MPf2_MP	continentia-02	n#01069578	
SlaT-2788-n11	libido	v#v-w1112_MPf5_MP	libido-01	n#04851715	
SlaT-2789-n1	transfero	v#v-w716_MPf7_MP	transfero-15	v#02220461	
SlaT-2790-n1	pareo	v#v-w714_MPf5_MP	pareo-07	v#02542795	
SlaT-2790-n7	aro	v#v-w1116_MPf2_MP	aro-03	v#01739814	
SlaT-2790-n8	navigo	v#v-w1117_MPf2_MP	nauigo-03	v#01945516	
SlaT-2790-n9	aedifico	v#v-w1118_MPf2_MP	aedifico-03	v#01661243	
SlaT-2791-n2	transeo	v#v-w579_MPf6_MP	transeo-15	v#02708420	
SlaT-2791-n6	dedo	v#v-w790_MPf5_MP	dedo-02	v#00887463	
SlaT-2791-n10	indoceo	v#v-w1119_MPf2_MP			
SlaT-2791-n12	peregrinor	v#v-w1120_MPf2_MP	peregrinor-01	v#00416399	
2792a1	sum	v#v-w2_MPf227_MP	doppio dativo?		
SlaT-2792-n7	sum	v#v-w2_MPf227_MP	doppio dativo?		
SlaT-2793-n1	aestimo	v#v-w189_MPf4_MP	aestimo-02	v#00660971	
SlaT-2793-n8	sileo	v#v-w1121_MPf2_MP	sileo-03	v#01041061	
SlaT-2794-n1	video	v#v-w16_MPf41_MP	uideo-10	v#02133435	
SlaT-2794-n6	quaero	v#v-w482_MPf12_MP	quaero-15	v#02153709	
SlaT-2794-n8	intendo	v#v-w29_MPf14_MP	intendo-06	v#00722232	
SlaT-2794-n20	vivo	v#v-w503_MPf1_MP	uiuo-NEW-02	v#02614181	have life, be alive
SlaT-2794-n21	fruor	v#v-w793_MPf5_MP	fruor-04	v#02110793	
SlaT-2795-n2	ostendo	v#v-w30_MPf44_MP	ostendo-07	v#00923793	
SlaT-2796-n2	sum	v#v-w2_MPf107_MP	have-mod-91		
SlaT-2796-n4	facio	v#v-w76_MPf44_MP	facio-01	v#00010435	
SlaT-2796-n8	sum	v#v-w2_MPf107_MP	have-mod-91		
SlaT-2796-n10	dico	v#v-w9_MPf44_MP	dico2-18	v#01009240	
SlaT-2797-n5	fio	v#v-w565_MPf11_MP	fio-01	v#00149583	
SlaT-2798-n1	laudo	v#v-w594_MPf4_MP	laudo-08	v#01023071	
SlaT-2798-n4	facio	v#v-w76_MPf43_MP	facio-02	v#00014549	
SlaT-2798-n6	scribo	v#v-w603_MPf5_MP	scribo-14	v#02471690	
SlaT-2798-n8	facio	v#v-w76_MPf45_MP	facio-23	v#01712704	
SlaT-2799-n2	video	v#v-w16_MPf56_MP	uideo-10	v#02133435	
SlaT-2799-n5	sequor	v#v-w109_MPf32_MP	sequor-22	v#02716567	
SlaT-2799-n8	par	v#v-w1067_MPf2_MP			
SlaT-2799-n10	scriptor	v#v-w1122_MPf3_MP	scriptor-03	n#10794014	
SlaT-2799-n11	auctor	v#v-w60_MPf7_MP	auctor-20	n#10209082	
SlaT-2799-n16	scribo	v#v-w603_MPf6_MP	scribo-14	v#02471690	
SlaT-2799-n18	gero	v#v-w570_MPf9_MP	gero-15	v#02445509	
SlaT-2800-n4	exaequo	v#v-w1123_MPf2_MP	exaequo-01	v#00417001	
SlaT-2800-n3	facio	v#v-w76_MPf30_MP	facio-23	v#01712704	
SlaT-2800-n5	dico	v#v-w9_MPf44_MP	dico2-18	v#01009240	
SlaT-2801-n3	puto	v#v-w145_MPf14_MP	puto-09	v#00689344	
SlaT-2801-n6	reprehendo	v#v-w1124_MPf2_MP	reprehendo-05	v#00826201	
SlaT-2801-n9	dico	v#v-w9_MPf39_MP	dico2-18	v#01009240	
SlaT-2801-n14	memoro	v#v-w694_MPf14_MP	memoro-03	v#00953216	
SlaT-2801-n20	accipio	v#v-w217_MPf26_MP	accipio-08/accipio-10	v#00683280/v#00686879	
SlaT-2801-n21	puto	v#v-w145_MPf9_MP	puto-09	v#00689344	
SlaT-2801-n26	facio	v#v-w76_MPf30_MP	facio-23	v#01712704	
SlaT-2801-n29	duco	v#v-w115_MPf22_MP	duco-09	v#00690614	
SlaT-2801-n31	fingo	v#v-w240_MPf5_MP	fingo-12/fingo-15	v#01634424/v#01697986	
SlaT-2802-n3	fero	v#v-w392_MPf8_MP	fero-40	v#01999798	
SlaT-2802-n9	studium	v#v-w59_MPf6_MP	studium-03	n#04945057	
2802a1	sum	v#v-w2_MPf118_MP	have-mod-91		
SlaT-2802-n15	adverto	v#v-w247_MPf4_MP			
SlaT-2803-n1	vigeo	v#v-w1125_MPf2_MP	uigeo-NEW-03	v#02644234	be larger in number, quantity, power, status or importance
SlaT-2804-n1	teneo	v#v-w172_MPf9_MP	teneo-31	v#02681795	
SlaT-2804-n2	aspernor	v#v-w1126_MPf2_MP	aspernor-05	v#01774799	
SlaT-2804-n5	insoleo	v#v-w1127_MPf2_MP	insolens-NEW-01		unaccustomed to
SlaT-2804-n13	corrumpo	v#v-w514_MPf4_MP	corrumpo-15	v#02579447	
SlaT-2805-n2	vexo	v#v-w851_MPf3_MP	uexo-10	v#01764171	
SlaT-2805-n4	dissentio	v#v-w1128_MPf3_MP	dissentio-01	v#00804802	
SlaT-2805-n10	cupido	v#v-w1129_MPf2_MP	cupido-03	n#04946078	
2805a2	vexo	v#v-w851_MPf3_MP	uexo-10	v#01764171	
2805a3	cupido	v#v-w1129_MPf2_MP	cupido-03	n#04946078	
SlaT-2806-n1	sum	v#v-w2_MPf123_MP			
SlaT-2806-n4	requiesco	v#v-w1130_MPf2_MP	requiesco-01	v#00014405	
SlaT-2806-n10	decerno	v#v-w635_MPf5_MP	decerno-09	v#00947077	
SlaT-2806-n11	habeo	v#v-w73_MPf15_MP	habeo-NEW-26	v#02708420	pass time in a specific way
SlaT-2806-n19	consilium	v#v-w316_MPf1_MP	decido-02	v#00697589	
SlaT-2806-n21	contero	v#v-w1131_MPf2_MP	contero-06	v#01161087	
SlaT-2806-n27	ago	v#v-w250_MPf16_MP	ago-26	v#02708420	
SlaT-2806-n30	intendo	v#v-w29_MPf15_MP	intendo-06	v#00722232	
SlaT-2806-n33	colo	v#v-w589_MPf4_MP	colo2-06	v#01739814	
SlaT-2806-n35	venor	v#v-w1132_MPf2_MP	uenor-01	v#01143838	
SlaT-2807-n2	statuo	v#v-w624_MPf3_MP	statuo-04	v#00697589	
SlaT-2807-n3	regredior	v#v-w1133_MPf3_MP	regredior-05	v#02004874	
SlaT-2807-n8	incipio	v#v-w121_MPf21_MP	incipio-06	v#01864230	
SlaT-2807-n9	studium	v#v-w59_MPf6_MP	studium-04	n#05670343	
SlaT-2807-n5	detineo	v#v-w915_MPf4_MP	detineo-04	v#01302019	
SlaT-2807-n13	perscribo	v#v-w1134_MPf2_MP	perscribo-01	v#01000214	
SlaT-2807-n15	gero	v#v-w570_MPf5_MP	gero-15	v#02445509	
SlaT-2807-n19	video	v#v-w16_MPf51_MP	uideo-10	v#02133435	
SlaT-2807-n21	dignus	v#v-w1361_MPf2_MP			
SlaT-2807-n22	memoria	v#v-w1107_MPf3_MP	memoria-03	n#05760202	
SlaT-2807-n25	sum	v#v-w2_MPf232_MP	have-mod-91		
SlaT-2807-n28	liber^solutus	v#v-w1135_MPf3_MP	liber-05	a#01061489	
SlaT-2808-n1	absolvo	v#v-w1136_MPf3_MP	absoluo-NEW-08	v#00953058	give an account of
SlaT-2808-n3	conjuratio	v#v-w1094_MPf3_MP	coniuratio-05	n#05908882	
SlaT-2808-n5	possum	v#v-w197_MPf4_MP			
SlaT-2809-n1	existimo	v#v-w591_MPf5_MP	existimo-03	v#00689344	
SlaT-2809-n7	memorabilis	v#v-w1137_MPf2_MP			
SlaT-2810-n6	explano	v#v-w1138_MPf2_MP	explano-04	v#00978369	
SlaT-2810-n8	facio	v#v-w76_MPf24_MP	facio-25	v#01752884	
SlaT-2810-n10	narro	v#v-w820_MPf4_MP	narro-04	v#00953216	
SlaT-2811-n1	sum	v#v-w2_MPf225_MP	have-mod-91		
SlaT-2811-n5	nascor	v#v-w35_MPf8_MP	nascor-05/06	v#00360932/v#00361208	
SlaT-2812-n2	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2812-n12	exerceo	v#v-w251_MPf6_MP	exerceo-29	v#02708420	
SlaT-2813-n2	patior	v#v-w450_MPf6_MP	patior-04	v#00668099	
SlaT-2813-n5	vigilia	v#v-w1103_MPf4_MP	uigilia-05	n#14022959	
SlaT-2813-n7	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2813-n8	credibilis	v#v-w1139_MPf2_MP			
SlaT-2814-n10	simulator	v#v-w1140_MPf2_MP	simulator-02	n#10195593	
SlaT-2814-n11	dissimulator	v#v-w1141_MPf2_MP	dissimulator-01	n#10195593	
SlaT-2814-n8	libet	v#v-w729_MPf3_MP	libet-01	v#01815628	
SlaT-2814-n12	appeto	v#v-w405_MPf2_MP	appeto-04	v#01825237	
SlaT-2814-n14	profundo	v#v-w1142_MPf2_MP	profundo-06/profundo-07/profundo-14	v#01158181/v#01195804/v#02268351	
SlaT-2814-n16	ardeo	v#v-w720_MPf3_MP	ardeo-08	v#01763303	
SlaT-2814-n17	cupiditas	v#v-w1111_MPf2_MP	cupiditas-01/cupiditas-02	n#04945530/n#04945758	
SlaT-2816-n1	cupio	v#v-w215_MPf5_MP	cupio-03/cupio-05	v#01825237/v#01828405	
SlaT-2816-n5	incredibilis	v#v-w1143_MPf2_MP	incredibilis-04	a#01675190	
SlaT-2817-n1	invado	v#v-w733_MPf5_MP	inuado2-05	v#02019716	
SlaT-2817-n3	dominatio	v#v-w1144_MPf3_MP	dominatio-07	n#14443912	
SlaT-2817-n8	libido	v#v-w1112_MPf4_MP	libido-03	n#07486628	
SlaT-2817-n10	capio	v#v-w106_MPf8_MP	capio-37	v#02272549	
SlaT-2818-n2	habeo	v#v-w73_MPf20_MP	pendo-05	v#00950431	
SlaT-2818-n4	assequor	v#v-w917_MPf3_MP	assequor-08	v#02000868	
SlaT-2818-n8	paro	v#v-w572_MPf8_MP	paro-09	v#02210855	
SlaT-2819-n1	agito	v#v-w631_MPf3_MP	agito-NEW-15	v#01764171	disturb in mind or make uneasy or cause to be worried or alarmed
SlaT-2819-n12	conscientia	v#v-w1145_MPf2_MP	conscientia-05	n#13991245	
SlaT-2819-n14	augeo	v#v-w395_MPf7_MP	augeo-08	v#00208210	
SlaT-2819-n19	memoro	v#v-w694_MPf7_MP	memoro-05	v#01024190	
SlaT-2820-n1	incito	v#v-w1146_MPf3_MP	incito-12	v#01649999	
SlaT-2820-n4	corrumpo	v#v-w514_MPf5_MP	corrumpo-15	v#02579447	
SlaT-2820-n6	vexo	v#v-w851_MPf3_MP	uexo-10	v#01764171	
SlaT-2820-n12	diversus	v#v-w323_MPf5_MP			
SlaT-2821-n1	video	v#v-w16_MPf45_MP	uideo-14	v#02198234	
SlaT-2821-n4	hortor	v#v-w710_MPf5_MP	hortor-01	v#00765649	
SlaT-2821-n5	admoneo	v#v-w713_MPf3_MP	admoneo-01	v#00610538	
SlaT-2821-n10	repeto	v#v-w639_MPf5_MP	repeto-04	v#00350283	
SlaT-2821-n12	dissero	v#v-w42_MPf9_MP	dissero2-02	v#01034312	
SlaT-2821-n15	instituo	v#v-w554_MPf3_MP	instituo-04	v#00665476	
SlaT-2821-n20	habeo	v#v-w73_MPf15_MP	habeo-15	v#02445509	
SlaT-2821-n25	relinquo	v#v-w69_MPf16_MP	relinquo-05	v#01842367	
SlaT-2821-n27	facio	v#v-w76_MPf60_MP	facio-05	v#00120675	
SlaT-2821-n28	immuto	v#v-w1147_MPf3_MP	immuto-NEW-01	v#00126264	cause to change; make different; cause a transformation
SlaT-2822-n4	accipio	v#v-w217_MPf26_MP	accipio-08/accipio-10	v#00683280/v#00686879	
SlaT-2822-n6	condo	v#v-w647_MPf3_MP	condo-17	v#02427103	
SlaT-2822-n7	habeo	v#v-w73_MPf16_MP	habeo-15	v#02445509	
SlaT-2822-n10	vagor	v#v-w1148_MPf2_MP	uagor-04	v#01881180	
SlaT-2822-n27	liber^solutus	v#v-w1135_MPf4_MP	liber-05	a#01061489	
SlaT-2822-n28	solvo	v#v-w199_MPf5_MP	soluo-33	v#02566528	
SlaT-2823-n1	sum	v#v-w2_MPf234_MP	have-mod-91		
SlaT-2823-n2	convenio	v#v-w93_MPf28_MP	conuenio-07	v#02428924	
SlaT-2823-n10	dissimilis	v#v-w969_MPf3_MP	dissimilis-02	a#01410905	
SlaT-2823-n11	vivo	v#v-w503_MPf1_MP	uiuo-NEW-01	v#02614387	lead a certain kind of life; live in a certain style
SlaT-2823-n15	incredibilis	v#v-w1077_MPf1_MP	incredibilis-01	a#00645493	
SlaT-2823-n16	memoro	v#v-w694_MPf8_MP	memoro-03	v#00953216	
SlaT-2823-n17	coalo	v#v-w1149_MPf2_MP	coalo-NEW-04	v#01462468	combine into one
SlaT-2824-n1	facio	v#v-w76_MPf20_MP	facio-14	v#01617192	
SlaT-2824-n6	dispergo	v#v-w1150_MPf2_MP	dispergo-04	v#02082690	
SlaT-2825-n2	orior	v#v-w612_MPf3_MP	orior-10	v#02625786	
SlaT-2825-n3	video	v#v-w16_MPf57_MP	uideo-10	v#02133435	
SlaT-2825-n6	augeo	v#v-w395_MPf8_MP	augeo-14	v#00230746	
SlaT-2825-n13	polleo	v#v-w1151_MPf2_MP	polleo-NEW-04		be powerful
SlaT-2825-n15	habeo	v#v-w73_MPf18_MP	habeo-NEW-27		happen, be the case
SlaT-2826-n3	tento	v#v-w105_MPf3_MP	tempto-04	v#01119169	
SlaT-2826-n9	sum	v#v-w2_MPf227_MP	doppio dativo?		
SlaT-2826-n12	auxilium	v#v-w1110_MPf6_MP	auxilium-04	n#01207609	
SlaT-2827-n1	absum	v#v-w994_MPf4_MP	absum-02	v#00421535	
SlaT-2827-n4	percello	v#v-w1152_MPf2_MP	percello-07	v#01814396	
SlaT-2828-n8	festino	v#v-w860_MPf5_MP	festino-02	v#00459498	
SlaT-2828-n9	paro	v#v-w572_MPf9_MP	paro-02	v#00406963	
SlaT-2828-n10	hortor	v#v-w710_MPf6_MP	hortor-02	v#00771341	
SlaT-2828-n13	eo	v#v-w470_MPf3_MP	eo-13	v#01992503	
SlaT-2828-n16	tego	v#v-w613_MPf3_MP	tego-03/tego-04	v#01128193/v#01129337	
SlaT-2829-n3	propello	v#v-w1153_MPf2_MP	repello-02	v#01131197	
SlaT-2829-n6	porto	v#v-w807_MPf4_MP	porto-05	v#02077656	
SlaT-2829-n10	auxilium	v#v-w1110_MPf6_MP	auxilium-04	n#01207609	
SlaT-2829-n11	paro	v#v-w572_MPf10_MP	paro-09	v#02210855	
SlaT-2829-n12	do	v#v-w72_MPf23_MP	do-28	v#02294436	
SlaT-2829-n14	accipio	v#v-w217_MPf30_MP	accipio-16	v#02236124	
SlaT-2830-n1	habeo	v#v-w73_MPf52_MP	have-91		
SlaT-2831-n1	consulto	v#v-w1154_MPf2_MP	consulto-02	v#00812580	
SlaT-2831-n2	deligo	v#v-w675_MPf4_MP	deligo-01	v#00674607	
2831a3	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2831-n8	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2832-n1	appello	v#v-w607_MPf4_MP	appello-13	v#01026095	
SlaT-2832-n5	similitudo	v#v-w309_MPf5_MP	similitudo-02	n#04743605	
SlaT-2832-n6	cura	v#v-w314_MPf1_MP	cura-03	n#00720565	
SlaT-2833-n1	facio	v#v-w76_MPf24_MP	facio-18	v#01647229	
SlaT-2833-n3	converto	v#v-w686_MPf5_MP	conuerto-06	v#00382635	
SlaT-2833-n10	conservo	v#v-w1057_MPf3_MP	conseruo-06	v#02679899	
SlaT-2833-n12	augeo	v#v-w395_MPf9_MP	augeo-14	v#00230746	
SlaT-2833-n17	dominatio	v#v-w1144_MPf4_MP	dominatio-07	n#14443912	
SlaT-2833-n19	immuto	v#v-w1147_MPf5_MP	immuto-NEW-01	v#00126264	
SlaT-2834-n1	puto	v#v-w145_MPf7_MP	puto-09	v#00689344	
SlaT-2834-n4	insolesco	v#v-w1155_MPf2_MP	insolesco-03	v#02596908	
SlaT-2834-n6	licentia	v#v-w1187_MPf2_MP	licentia-08	n#13995378	
SlaT-2835-n2	coepio	v#v-w575_MPf4_MP	coepio-01	v#00345761	
SlaT-2835-n7	extollo	v#v-w830_MPf4_MP	extollo-13	v#00922438	
SlaT-2835-n10	habeo	v#v-w73_MPf15_MP	habeo-NEW-25	TBD	hold or keep a person or thing in any condition or quality; [WN] cause to continue in a certain state, position, or activity
SlaT-2836-n3	sum	v#v-w2_MPf118_MP	have-mod-91		
SlaT-2836-n6	suspicio	v#v-w1156_MPf2_MP	suspicio-01	v#00687926	
2836a3	sum	v#v-w2_MPf118_MP	have-mod-91		
2836a4	suspicio	v#v-w1156_MPf2_MP	suspicio-01	v#00687926	
SlaT-2836-n8	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2836-n12	alienus	v#v-w1336_MPf3_MP			
SlaT-2837-n2	sum	v#v-w2_MPf233_MP	have-mod-91		
SlaT-2837-n3	incredibilis	v#v-w1077_MPf1_MP	incredibilis-01	a#00645493	
SlaT-2837-n4	memoro	v#v-w694_MPf8_MP	memoro-03	v#00953216	
SlaT-2837-n5	adipiscor	v#v-w913_MPf6_MP	adipiscor-06	v#02288295	
SlaT-2837-n7	cresco	v#v-w648_MPf3_MP	cresco-03	v#00230746	
SlaT-2838-n1	incedo	v#v-w765_MPf5_MP	incedo-04	v#01992503	
SlaT-2838-n2	cupido	v#v-w1129_MPf2_MP	cupido-03	n#04946078	
SlaT-2839-n4	disco	v#v-w178_MPf4_MP	disco-01	v#00597915	
SlaT-2839-n6	sum	v#v-w2_MPf118_MP	-		
SlaT-2839-n9	patior	v#v-w450_MPf6_MP	patior-04	v#00668099	
SlaT-2839-n13	usus	v#v-w62_MPf6_MP	usus-01	n#00410247	
SlaT-2839-n15	habeo	v#v-w73_MPf15_MP	habeo-NEW-28	v#02292125	obtain
2839a4	habeo	v#v-w73_MPf15_MP	habeo-NEW-28	v#02292125	obtain
2839a5	libido	v#v-w1112_MPf6_MP	libido-NEW-08	n#07490713	a fundamental feeling that is hard to define but that people desire to experience
SlaT-2839-n26	libido	v#v-w1112_MPf6_MP	libido-NEW-08	n#07490713	a fundamental feeling that is hard to define but that people desire to experience
2840a1	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2840-n8	sum	v#v-w2_MPf104_MP	have-mod-91		
2840a2	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2840-n17	armo	v#v-w865_MPf3_MP	armo-06	v#01088381	
SlaT-2841-n1	domo	v#v-w778_MPf3_MP	domo-08	v#02539334	
SlaT-2842-n2	sum	v#v-w2_MPf115_MP	-		
SlaT-2842-n3	certamen	v#v-w1108_MPf5_MP	certo-04	v#01072262	
SlaT-2843-n1	propero	v#v-w651_MPf11_MP	propero-NEW-06	v#00459296	
SlaT-2843-n5	ferio	v#v-w769_MPf3_MP	ferio-01	v#00069879	
SlaT-2843-n7	ascendo	v#v-w130_MPf5_MP	ascendo-16	v#01999082	
SlaT-2843-n9	conspicio	v#v-w365_MPf3_MP	conspicio-11	v#02118476	
SlaT-2843-n10	facio	v#v-w76_MPf24_MP	facio-23	v#01712704	
SlaT-2844-n1	puto	v#v-w145_MPf10_MP	puto-09	v#00689344	
SlaT-2845-n1	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2845-n3	avidus	v#v-w1157_MPf2_MP			
SlaT-2845-n5	liberalis	v#v-w1158_MPf2_MP			
SlaT-2846-n1	volo^velle	v#v-w383_MPf5_MP	uolo-11	v#01825237	
SlaT-2847-n1	memoro	v#v-w694_MPf9_MP	memoro-03	v#00953216	
SlaT-2847-n3	fundo	v#v-w751_MPf3_MP	fundo-05	v#01104248	
SlaT-2847-n16	munio	v#v-w874_MPf8_MP	munio-03	v#01130607	
SlaT-2847-n13	capio	v#v-w106_MPf10_MP	capio-37	v#02272549	
SlaT-2847-n18	pugno	v#v-w627_MPf4_MP	pugno-07	v#01092366	
SlaT-2847-n19	traho	v#v-w196_MPf12_MP	traho-NEW-28	v#02103162	cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense
SlaT-2847-n22	longus	v#v-w1402_MPf3_MP			
SlaT-2847-n24	incipio	v#v-w121_MPf21_MP	incipio-06	v#01864230	
SlaT-2848-n2	dominor	v#v-w1113_MPf6_MP	dominor-01	v#02442106	
SlaT-2849-n9	celebro	v#v-w795_MPf4_MP	celebro-01	v#00489299	
SlaT-2849-n10	obscuro	v#v-w174_MPf4_MP	obscuro-03	v#00313712	
SlaT-2849-n5	libido	v#v-w1112_MPf5_MP	libido-NEW-08		unlawful or inordinate desire, passion, caprice
2849a4	celebro	v#v-w795_MPf4_MP	celebro-01	v#00489299	
2849a5	obscuro	v#v-w174_MPf4_MP	obscuro-03	v#00313712	
SlaT-2850-n4	gero	v#v-w570_MPf5_MP	gero-15	v#02445509	
SlaT-2850-n5	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2850-n6	aestimo	v#v-w189_MPf6_MP	aestimo-05	v#00690614	
2850a4	sum	v#v-w2_MPf104_MP	have-mod-91		
SlaT-2850-n15	fero	v#v-w392_MPf9_MP	fero-23	v#00965035	
SlaT-2851-n2	celebro	v#v-w795_MPf5_MP	celebro-01	v#00489299	
SlaT-2851-n3	provenio	v#v-w163_MPf8_MP	prouenio-NEW-10	v#02342800	make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
SlaT-2851-n6	scriptor	v#v-w1122_MPf4_MP	scriptor-03	n#10794014	
SlaT-2851-n10	facio	v#v-w76_MPf47_MP	facio-23	v#01712704	
SlaT-2852-n1	habeo	v#v-w73_MPf53_MP	habeo-07	v#00689950	
SlaT-2852-n5	facio	v#v-w76_MPf43_MP	facio-23	v#01712704	
SlaT-2852-n8	extollo	v#v-w830_MPf5_MP	extollo-11	v#00860620	
SlaT-2853-n2	sum	v#v-w2_MPf115_MP	belong-91		
SlaT-2853-n9	sum	v#v-w2_MPf99_MP	have-mod-91		
SlaT-2853-n14	exerceo	v#v-w251_MPf6_MP	exerceo-13	v#02204564	
SlaT-2853-n21	facio	v#v-w76_MPf43_MP	facio-02	v#00014549	
SlaT-2853-n22	dico	v#v-w9_MPf84_MP	dico2-08/dico2-18	v#00941990/v#01009240	
SlaT-2853-n23	laudo	v#v-w594_MPf5_MP	laudo-04/laudo-05	v#00860620/v#00880780	
SlaT-2853-n25	facio	v#v-w76_MPf45_MP	facio-23	v#01712704	
